YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2010,ALL-ROOKIE,1,201939,Stephen Curry,1.0
2010,ALL-ROOKIE,1,201936,Tyreke Evans,1.0
2010,ALL-ROOKIE,1,201943,Brandon Jennings,1.0
2010,ALL-ROOKIE,1,201954,Darren Collison,0.793
2010,ALL-ROOKIE,1,201959,Taj Gibson,0.707
2010,ALL-ROOKIE,2,201977,Marcus Thornton,0.534
2010,ALL-ROOKIE,2,201971,DeJuan Blair,0.517
2010,ALL-ROOKIE,2,201938,Jonny Flynn,0.379
2010,ALL-ROOKIE,2,201935,James Harden,0.379
2010,ALL-ROOKIE,2,201973,Jonas Jerebko,0.379
2010,ALL-ROOKIE,1000,202083,Wesley Matthews,0.276
2010,ALL-ROOKIE,1000,201956,Omri Casspi,0.224
2010,ALL-ROOKIE,1000,201978,Chase Budinger,0.138
2010,ALL-ROOKIE,1000,201950,Jrue Holiday,0.121
2010,ALL-ROOKIE,1000,201951,Ty Lawson,0.121
2010,ALL-ROOKIE,1000,201586,Serge Ibaka,0.103
2010,ALL-ROOKIE,1000,201962,Toney Douglas,0.034
2010,ALL-ROOKIE,1000,201958,Rodrigue Beaubois,0.017
2010,ALL-ROOKIE,1000,201942,DeMar DeRozan,0.017
2010,ALL-ROOKIE,1000,201970,Sam Young,0.017
