YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2002,ALL-NBA,1,406,Shaquille O'Neal,0.994
2002,ALL-NBA,1,1495,Tim Duncan,0.994
2002,ALL-NBA,1,467,Jason Kidd,0.954
2002,ALL-NBA,1,1503,Tracy McGrady,0.814
2002,ALL-NBA,1,977,Kobe Bryant,0.805
2002,ALL-NBA,2,708,Kevin Garnett,0.621
2002,ALL-NBA,2,1717,Dirk Nowitzki,0.568
2002,ALL-NBA,2,185,Chris Webber,0.538
2002,ALL-NBA,2,56,Gary Payton,0.451
2002,ALL-NBA,2,947,Allen Iverson,0.432
2002,ALL-NBA,3,1718,Paul Pierce,0.365
2002,ALL-NBA,3,1112,Ben Wallace,0.31
2002,ALL-NBA,3,87,Dikembe Mutombo,0.167
2002,ALL-NBA,3,959,Steve Nash,0.152
2002,ALL-NBA,3,979,Jermaine O'Neal,0.124
2002,ALL-NBA,1000,978,Peja Stojaković,0.087
2002,ALL-NBA,1000,124,Vlade Divac,0.081
2002,ALL-NBA,1000,711,Jerry Stackhouse,0.073
2002,ALL-NBA,1000,252,Karl Malone,0.065
2002,ALL-NBA,1000,1889,Andre Miller,0.051
2002,ALL-NBA,1000,1882,Elton Brand,0.046
2002,ALL-NBA,1000,893,Michael Jordan,0.046
2002,ALL-NBA,1000,952,Antoine Walker,0.044
2002,ALL-NBA,1000,297,Alonzo Mourning,0.04
2002,ALL-NBA,1000,1884,Baron Davis,0.038
2002,ALL-NBA,1000,739,Rasheed Wallace,0.024
2002,ALL-NBA,1000,951,Ray Allen,0.021
2002,ALL-NBA,1000,304,John Stockton,0.017
2002,ALL-NBA,1000,949,Shareef Abdur-Rahim,0.008
2002,ALL-NBA,1000,714,Michael Finley,0.008
2002,ALL-NBA,1000,1883,Steve Francis,0.008
2002,ALL-NBA,1000,1710,Mike Bibby,0.006
2002,ALL-NBA,1000,2200,Pau Gasol,0.006
2002,ALL-NBA,1000,1711,Raef LaFrentz,0.006
2002,ALL-NBA,1000,1890,Shawn Marion,0.006
2002,ALL-NBA,1000,764,David Robinson,0.006
2002,ALL-NBA,1000,1713,Vince Carter,0.005
2002,ALL-NBA,1000,213,Antonio Davis,0.005
2002,ALL-NBA,1000,361,Clifford Robinson,0.005
2002,ALL-NBA,1000,1740,Rashard Lewis,0.003
2002,ALL-NBA,1000,1709,Michael Olowokandi,0.003
2002,ALL-NBA,1000,922,Elden Campbell,0.002
2002,ALL-NBA,1000,208,Sam Cassell,0.002
2002,ALL-NBA,1000,397,Reggie Miller,0.002
2002,ALL-NBA,1000,1749,Cuttino Mobley,0.002
2002,ALL-NBA,1000,1887,Wally Szczerbiak,0.002
