YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2024,ALL-NBA,1,1628983,Shai Gilgeous-Alexander,1.0
2024,ALL-NBA,1,203999,Nikola Jokić,1.0
2024,ALL-NBA,1,1629029,Luka Dončić,0.996
2024,ALL-NBA,1,203507,Giannis Antetokounmpo,0.956
2024,ALL-NBA,1,1628369,Jayson Tatum,0.863
2024,ALL-NBA,2,1628973,Jalen Brunson,0.743
2024,ALL-NBA,2,1630162,Anthony Edwards,0.576
2024,ALL-NBA,2,201142,Kevin Durant,0.554
2024,ALL-NBA,2,202695,Kawhi Leonard,0.489
2024,ALL-NBA,2,203076,Anthony Davis,0.465
2024,ALL-NBA,3,2544,LeBron James,0.331
2024,ALL-NBA,3,201939,Stephen Curry,0.236
2024,ALL-NBA,3,1627734,Domantas Sabonis,0.21
2024,ALL-NBA,3,1630169,Tyrese Haliburton,0.152
2024,ALL-NBA,3,1626164,Devin Booker,0.141
2024,ALL-NBA,1000,1627759,Jaylen Brown,0.101
2024,ALL-NBA,1000,1630178,Tyrese Maxey,0.032
2024,ALL-NBA,1000,202331,Paul George,0.032
2024,ALL-NBA,1000,203497,Rudy Gobert,0.024
2024,ALL-NBA,1000,1641705,Victor Wembanyama,0.022
2024,ALL-NBA,1000,1629627,Zion Williamson,0.022
2024,ALL-NBA,1000,1631094,Paolo Banchero,0.02
2024,ALL-NBA,1000,1628368,De'Aaron Fox,0.018
2024,ALL-NBA,1000,1628389,Bam Adebayo,0.014
2024,ALL-NBA,1000,201942,DeMar DeRozan,0.002
