YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1992,ALL-NBA,1,893,Michael Jordan,0.996
1992,ALL-NBA,1,252,Karl Malone,0.971
1992,ALL-NBA,1,17,Clyde Drexler,0.85
1992,ALL-NBA,1,764,David Robinson,0.827
1992,ALL-NBA,1,904,Chris Mullin,0.79
1992,ALL-NBA,2,937,Scottie Pippen,0.71
1992,ALL-NBA,2,121,Patrick Ewing,0.644
1992,ALL-NBA,2,896,Tim Hardaway,0.6
1992,ALL-NBA,2,304,John Stockton,0.56
1992,ALL-NBA,2,787,Charles Barkley,0.408
1992,ALL-NBA,3,23,Dennis Rodman,0.373
1992,ALL-NBA,3,899,Mark Price,0.169
1992,ALL-NBA,3,134,Kevin Johnson,0.162
1992,ALL-NBA,3,921,Brad Daugherty,0.146
1992,ALL-NBA,3,788,Kevin Willis,0.079
1992,ALL-NBA,1000,204,Jeff Hornacek,0.104
1992,ALL-NBA,1000,165,Hakeem Olajuwon,0.077
1992,ALL-NBA,1000,247,Joe Dumars,0.058
1992,ALL-NBA,1000,913,Larry Johnson,0.054
1992,ALL-NBA,1000,330,Danny Manning,0.054
1992,ALL-NBA,1000,1449,Larry Bird,0.044
1992,ALL-NBA,1000,77384,Reggie Lewis*,0.035
1992,ALL-NBA,1000,77685,Larry Nance,0.033
1992,ALL-NBA,1000,78318,Isiah Thomas,0.021
1992,ALL-NBA,1000,782,Mitch Richmond,0.019
1992,ALL-NBA,1000,270,Horace Grant,0.017
1992,ALL-NBA,1000,96,Detlef Schrempf,0.017
1992,ALL-NBA,1000,779,Glen Rice,0.012
1992,ALL-NBA,1000,901,Otis Thorpe,0.012
1992,ALL-NBA,1000,383,Kendall Gill,0.006
1992,ALL-NBA,1000,117,Jeff Malone,0.006
1992,ALL-NBA,1000,305,Robert Parish,0.006
1992,ALL-NBA,1000,1122,Dominique Wilkins,0.006
1992,ALL-NBA,1000,433,Buck Williams,0.006
1992,ALL-NBA,1000,397,Reggie Miller,0.004
1992,ALL-NBA,1000,894,Ricky Pierce,0.004
1992,ALL-NBA,1000,1460,James Worthy,0.004
1992,ALL-NBA,1000,302,Mookie Blaylock,0.002
1992,ALL-NBA,1000,934,Derrick Coleman,0.002
1992,ALL-NBA,1000,187,Terry Cummings,0.002
1992,ALL-NBA,1000,166,Ron Harper,0.002
1992,ALL-NBA,1000,349,Mark Jackson,0.002
1992,ALL-NBA,1000,345,Terry Porter,0.002
