YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1994,ALL-NBA,1st,937,Scottie Pippen,0.942
1994,ALL-NBA,1st,165,Hakeem Olajuwon,0.841
1994,ALL-NBA,1st,252,Karl Malone,0.81
1994,ALL-NBA,1st,304,John Stockton,0.691
1994,ALL-NBA,1st,84,Latrell Sprewell,0.489
1994,ALL-NBA,2nd,764,David Robinson,0.662
1994,ALL-NBA,2nd,431,Shawn Kemp,0.411
1994,ALL-NBA,2nd,787,Charles Barkley,0.396
1994,ALL-NBA,2nd,782,Mitch Richmond,0.384
1994,ALL-NBA,2nd,134,Kevin Johnson,0.369
1994,ALL-NBA,3rd,899,Mark Price,0.353
1994,ALL-NBA,3rd,56,Gary Payton,0.34
1994,ALL-NBA,3rd,934,Derrick Coleman,0.27
1994,ALL-NBA,3rd,1122,Dominique Wilkins,0.206
1994,ALL-NBA,3rd,406,Shaquille O'Neal,0.183
1994,ALL-NBA,ORV,72,Kenny Anderson,0.33
1994,ALL-NBA,ORV,397,Reggie Miller,0.206
1994,ALL-NBA,ORV,302,Mookie Blaylock,0.184
1994,ALL-NBA,ORV,788,Kevin Willis,0.15
1994,ALL-NBA,ORV,23,Dennis Rodman,0.101
1994,ALL-NBA,ORV,891,Charles Oakley,0.079
1994,ALL-NBA,ORV,121,Patrick Ewing,0.068
1994,ALL-NBA,ORV,270,Horace Grant,0.068
1994,ALL-NBA,ORV,247,Joe Dumars,0.066
1994,ALL-NBA,ORV,330,Danny Manning,0.066
1994,ALL-NBA,ORV,393,Rod Strickland,0.021
1994,ALL-NBA,ORV,17,Clyde Drexler,0.016
1994,ALL-NBA,ORV,769,B.J. Armstrong,0.012
1994,ALL-NBA,ORV,105,Dan Majerle,0.012
1994,ALL-NBA,ORV,120,Steve Smith,0.012
1994,ALL-NBA,ORV,87,Dikembe Mutombo,0.01
1994,ALL-NBA,ORV,779,Glen Rice,0.01
1994,ALL-NBA,ORV,361,Clifford Robinson,0.01
1994,ALL-NBA,ORV,278,Stacey Augmon,0.008
1994,ALL-NBA,ORV,383,Kendall Gill,0.008
1994,ALL-NBA,ORV,203,Nate McMillan,0.006
1994,ALL-NBA,ORV,96,Detlef Schrempf,0.006
1994,ALL-NBA,ORV,177,Muggsy Bogues,0.004
1994,ALL-NBA,ORV,358,Anfernee Hardaway,0.004
1994,ALL-NBA,ORV,339,Tom Gugliotta,0.002
1994,ALL-NBA,ORV,166,Ron Harper,0.002
1994,ALL-NBA,ORV,204,Jeff Hornacek,0.002
1994,ALL-NBA,ORV,754,Jim Jackson,0.002
1994,ALL-NBA,ORV,365,Derrick McKey,0.002
1994,ALL-NBA,ORV,317,John Starks,0.002
1994,ALL-NBA,ORV,221,Clarence Weatherspoon,0.002
1994,ALL-NBA,ORV,185,Chris Webber,0.002
