YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2009,ALL-ROOKIE,1st,201564,O.J. Mayo,1.0
2009,ALL-ROOKIE,1st,201565,Derrick Rose,1.0
2009,ALL-ROOKIE,1st,201566,Russell Westbrook,0.914
2009,ALL-ROOKIE,1st,201572,Brook Lopez,0.845
2009,ALL-ROOKIE,1st,201563,Michael Beasley,0.759
2009,ALL-ROOKIE,2nd,201569,Eric Gordon,0.672
2009,ALL-ROOKIE,2nd,201567,Kevin Love,0.586
2009,ALL-ROOKIE,2nd,201596,Mario Chalmers,0.5
2009,ALL-ROOKIE,2nd,201188,Marc Gasol,0.431
2009,ALL-ROOKIE,2nd,201571,D.J. Augustin,0.293
2009,ALL-ROOKIE,2nd,201164,Rudy FernÃ¡ndez,0.293
2009,ALL-ROOKIE,ORV,201584,Courtney Lee,0.207
2009,ALL-ROOKIE,ORV,201574,Jason Thompson,0.121
2009,ALL-ROOKIE,ORV,201141,Greg Oden,0.052
2009,ALL-ROOKIE,ORV,201578,Marreese Speights,0.052
2009,ALL-ROOKIE,ORV,201577,Robin Lopez,0.034
