YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1995,ALL-NBA,1st,252,Karl Malone,0.989
1995,ALL-NBA,1st,764,David Robinson,0.912
1995,ALL-NBA,1st,937,Scottie Pippen,0.859
1995,ALL-NBA,1st,304,John Stockton,0.851
1995,ALL-NBA,1st,358,Anfernee Hardaway,0.75
1995,ALL-NBA,2nd,787,Charles Barkley,0.691
1995,ALL-NBA,2nd,56,Gary Payton,0.651
1995,ALL-NBA,2nd,406,Shaquille O'Neal,0.592
1995,ALL-NBA,2nd,782,Mitch Richmond,0.482
1995,ALL-NBA,2nd,431,Shawn Kemp,0.307
1995,ALL-NBA,3rd,397,Reggie Miller,0.301
1995,ALL-NBA,3rd,23,Dennis Rodman,0.215
1995,ALL-NBA,3rd,165,Hakeem Olajuwon,0.194
1995,ALL-NBA,3rd,96,Detlef Schrempf,0.181
1995,ALL-NBA,3rd,17,Clyde Drexler,0.139
1995,ALL-NBA,ORV,469,Jamal Mashburn,0.122
1995,ALL-NBA,ORV,121,Patrick Ewing,0.097
1995,ALL-NBA,ORV,893,Michael Jordan,0.084
1995,ALL-NBA,ORV,754,Jim Jackson,0.067
1995,ALL-NBA,ORV,344,Dana Barros,0.061
1995,ALL-NBA,ORV,393,Rod Strickland,0.059
1995,ALL-NBA,ORV,913,Larry Johnson,0.05
1995,ALL-NBA,ORV,76,Cedric Ceballos,0.038
1995,ALL-NBA,ORV,779,Glen Rice,0.034
1995,ALL-NBA,ORV,270,Horace Grant,0.032
1995,ALL-NBA,ORV,452,Vin Baker,0.03
1995,ALL-NBA,ORV,89,Nick Van Exel,0.025
1995,ALL-NBA,ORV,247,Joe Dumars,0.021
1995,ALL-NBA,ORV,467,Jason Kidd,0.019
1995,ALL-NBA,ORV,896,Tim Hardaway,0.017
1995,ALL-NBA,ORV,177,Muggsy Bogues,0.013
1995,ALL-NBA,ORV,251,Sean Elliott,0.013
1995,ALL-NBA,ORV,238,Tyrone Hill,0.013
1995,ALL-NBA,ORV,84,Latrell Sprewell,0.011
1995,ALL-NBA,ORV,302,Mookie Blaylock,0.01
1995,ALL-NBA,ORV,299,Glenn Robinson,0.01
1995,ALL-NBA,ORV,255,Grant Hill,0.008
1995,ALL-NBA,ORV,204,Jeff Hornacek,0.008
1995,ALL-NBA,ORV,98,Nick Anderson,0.006
1995,ALL-NBA,ORV,769,B.J. Armstrong,0.006
1995,ALL-NBA,ORV,905,Dale Davis,0.006
1995,ALL-NBA,ORV,899,Mark Price,0.006
1995,ALL-NBA,ORV,892,Spud Webb,0.006
1995,ALL-NBA,ORV,422,Avery Johnson,0.004
1995,ALL-NBA,ORV,297,Alonzo Mourning,0.004
1995,ALL-NBA,ORV,278,Stacey Augmon,0.002
1995,ALL-NBA,ORV,330,Danny Manning,0.002
1995,ALL-NBA,ORV,317,John Starks,0.002
