YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2000,ALL-NBA,1st,406,Shaquille O'Neal,1.0
2000,ALL-NBA,1st,56,Gary Payton,0.894
2000,ALL-NBA,1st,708,Kevin Garnett,0.818
2000,ALL-NBA,1st,1495,Tim Duncan,0.76
2000,ALL-NBA,1st,467,Jason Kidd,0.736
2000,ALL-NBA,2nd,947,Allen Iverson,0.694
2000,ALL-NBA,2nd,977,Kobe Bryant,0.679
2000,ALL-NBA,2nd,252,Karl Malone,0.676
2000,ALL-NBA,2nd,297,Alonzo Mourning,0.585
2000,ALL-NBA,2nd,255,Grant Hill,0.565
2000,ALL-NBA,3rd,185,Chris Webber,0.42
2000,ALL-NBA,3rd,1713,Vince Carter,0.321
2000,ALL-NBA,3rd,224,Eddie Jones,0.207
2000,ALL-NBA,3rd,764,David Robinson,0.15
2000,ALL-NBA,3rd,950,Stephon Marbury,0.088
2000,ALL-NBA,ORV,304,John Stockton,0.083
2000,ALL-NBA,ORV,714,Michael Finley,0.081
2000,ALL-NBA,ORV,275,Allan Houston,0.046
2000,ALL-NBA,ORV,87,Dikembe Mutombo,0.043
2000,ALL-NBA,ORV,711,Jerry Stackhouse,0.04
2000,ALL-NBA,ORV,951,Ray Allen,0.033
2000,ALL-NBA,ORV,121,Patrick Ewing,0.013
2000,ALL-NBA,ORV,949,Shareef Abdur-Rahim,0.012
2000,ALL-NBA,ORV,147,Jalen Rose,0.01
2000,ALL-NBA,ORV,739,Rasheed Wallace,0.01
2000,ALL-NBA,ORV,361,Clifford Robinson,0.007
2000,ALL-NBA,ORV,84,Latrell Sprewell,0.007
2000,ALL-NBA,ORV,210,Terrell Brandon,0.005
2000,ALL-NBA,ORV,717,Arvydas Sabonis,0.003
2000,ALL-NBA,ORV,22,Rik Smits,0.003
2000,ALL-NBA,ORV,353,Darrell Armstrong,0.002
2000,ALL-NBA,ORV,208,Sam Cassell,0.002
2000,ALL-NBA,ORV,124,Vlade Divac,0.002
2000,ALL-NBA,ORV,358,Anfernee Hardaway,0.002
2000,ALL-NBA,ORV,686,Antonio McDyess,0.002
2000,ALL-NBA,ORV,397,Reggie Miller,0.002
2000,ALL-NBA,ORV,120,Steve Smith,0.002
