YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2001,ALL-ROOKIE,1st,2034,Mike Miller,1.0
2001,ALL-ROOKIE,1st,2030,Kenyon Martin,0.964
2001,ALL-ROOKIE,1st,1531,Marc Jackson,0.911
2001,ALL-ROOKIE,1st,2050,Morris Peterson,0.893
2001,ALL-ROOKIE,1st,2032,Darius Miles,0.857
2001,ALL-ROOKIE,2nd,2045,Hedo TÃ¼rkoÄlu,0.607
2001,ALL-ROOKIE,2nd,2046,Desmond Mason,0.5
2001,ALL-ROOKIE,2nd,2033,Marcus Fizer,0.286
2001,ALL-ROOKIE,2nd,2036,Chris Mihm,0.232
2001,ALL-ROOKIE,ORV,2048,Jamaal Magloire,0.214
2001,ALL-ROOKIE,ORV,2047,Quentin Richardson,0.196
2001,ALL-ROOKIE,ORV,2043,Mateen Cleaves,0.196
2001,ALL-ROOKIE,ORV,2039,Keyon Dooling,0.161
2001,ALL-ROOKIE,ORV,2054,Jake Tsakalidis,0.143
2001,ALL-ROOKIE,ORV,2031,Stromile Swift,0.107
2001,ALL-ROOKIE,ORV,1536,Stephen Jackson,0.071
2001,ALL-ROOKIE,ORV,2067,Eddie House,0.036
2001,ALL-ROOKIE,ORV,2058,Mark Madsen,0.036
2001,ALL-ROOKIE,ORV,2084,Chris Porter,0.036
2001,ALL-ROOKIE,ORV,2037,Jamal Crawford,0.018
2001,ALL-ROOKIE,ORV,2035,DerMarr Johnson,0.018
