YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2016,ALL-NBA,1st,201939,Stephen Curry,1.0
2016,ALL-NBA,1st,2544,LeBron James,0.988
2016,ALL-NBA,1st,201566,Russell Westbrook,0.972
2016,ALL-NBA,1st,202695,Kawhi Leonard,0.891
2016,ALL-NBA,1st,201599,DeAndre Jordan,0.491
2016,ALL-NBA,2nd,201142,Kevin Durant,0.701
2016,ALL-NBA,2nd,203110,Draymond Green,0.668
2016,ALL-NBA,2nd,101108,Chris Paul,0.547
2016,ALL-NBA,2nd,202326,DeMarcus Cousins,0.429
2016,ALL-NBA,2nd,203081,Damian Lillard,0.336
2016,ALL-NBA,3rd,203083,Andre Drummond,0.268
2016,ALL-NBA,3rd,202691,Klay Thompson,0.254
2016,ALL-NBA,3rd,202331,Paul George,0.243
2016,ALL-NBA,3rd,200768,Kyle Lowry,0.24
2016,ALL-NBA,3rd,200746,LaMarcus Aldridge,0.16
2016,ALL-NBA,ORV,201935,James Harden,0.164
2016,ALL-NBA,ORV,200794,Paul Millsap,0.13
2016,ALL-NBA,ORV,201143,Al Horford,0.118
2016,ALL-NBA,ORV,203076,Anthony Davis,0.118
2016,ALL-NBA,ORV,1626157,Karl-Anthony Towns,0.068
2016,ALL-NBA,ORV,201942,DeMar DeRozan,0.04
2016,ALL-NBA,ORV,202355,Hassan Whiteside,0.037
2016,ALL-NBA,ORV,202738,Isaiah Thomas,0.031
2016,ALL-NBA,ORV,2200,Pau Gasol,0.025
2016,ALL-NBA,ORV,202710,Jimmy Butler,0.019
2016,ALL-NBA,ORV,1717,Dirk Nowitzki,0.012
2016,ALL-NBA,ORV,202322,John Wall,0.011
2016,ALL-NBA,ORV,202689,Kemba Walker,0.009
2016,ALL-NBA,ORV,1495,Tim Duncan,0.005
2016,ALL-NBA,ORV,202330,Gordon Hayward,0.005
2016,ALL-NBA,ORV,2730,Dwight Howard,0.005
2016,ALL-NBA,ORV,2546,Carmelo Anthony,0.003
2016,ALL-NBA,ORV,201188,Marc Gasol,0.003
2016,ALL-NBA,ORV,101106,Andrew Bogut,0.002
2016,ALL-NBA,ORV,201933,Blake Griffin,0.002
2016,ALL-NBA,ORV,201572,Brook Lopez,0.002
2016,ALL-NBA,ORV,2225,Tony Parker,0.002
