YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1996,ALL-ROOKIE,1st,757,Damon Stoudamire,1.0
1996,ALL-ROOKIE,1st,693,Joe Smith,0.964
1996,ALL-ROOKIE,1st,711,Jerry Stackhouse,0.929
1996,ALL-ROOKIE,1st,686,Antonio McDyess,0.893
1996,ALL-ROOKIE,1st,717,Arvydas Sabonis,0.732
1996,ALL-ROOKIE,1st,714,Michael Finley,0.732
1996,ALL-ROOKIE,2nd,708,Kevin Garnett,0.625
1996,ALL-ROOKIE,2nd,735,Bryant Reeves,0.5
1996,ALL-ROOKIE,2nd,699,Brent Barry,0.375
1996,ALL-ROOKIE,2nd,739,Rasheed Wallace,0.268
1996,ALL-ROOKIE,2nd,721,Tyus Edney,0.268
1996,ALL-ROOKIE,ORV,703,Kurt Thomas,0.25
1996,ALL-ROOKIE,ORV,677,Eric Williams,0.161
1996,ALL-ROOKIE,ORV,673,Alan Henderson,0.018
1996,ALL-ROOKIE,ORV,690,Don Reid,0.018
1996,ALL-ROOKIE,ORV,682,Bob Sura,0.018
