YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2006,ALL-NBA,1st,2544,LeBron James,0.968
2006,ALL-NBA,1st,977,Kobe Bryant,0.948
2006,ALL-NBA,1st,1717,Dirk Nowitzki,0.927
2006,ALL-NBA,1st,959,Steve Nash,0.925
2006,ALL-NBA,1st,406,Shaquille O'Neal,0.638
2006,ALL-NBA,2nd,1497,Chauncey Billups,0.6
2006,ALL-NBA,2nd,2548,Dwyane Wade,0.592
2006,ALL-NBA,2nd,1112,Ben Wallace,0.576
2006,ALL-NBA,2nd,1882,Elton Brand,0.49
2006,ALL-NBA,2nd,1495,Tim Duncan,0.44
2006,ALL-NBA,3rd,1890,Shawn Marion,0.429
2006,ALL-NBA,3rd,2397,Yao Ming,0.414
2006,ALL-NBA,3rd,947,Allen Iverson,0.165
2006,ALL-NBA,3rd,2546,Carmelo Anthony,0.154
2006,ALL-NBA,3rd,2240,Gilbert Arenas,0.125
2006,ALL-NBA,ORV,708,Kevin Garnett,0.149
2006,ALL-NBA,ORV,2225,Tony Parker,0.105
2006,ALL-NBA,ORV,2200,Pau Gasol,0.078
2006,ALL-NBA,ORV,1713,Vince Carter,0.075
2006,ALL-NBA,ORV,1718,Paul Pierce,0.046
2006,ALL-NBA,ORV,467,Jason Kidd,0.032
2006,ALL-NBA,ORV,2730,Dwight Howard,0.017
2006,ALL-NBA,ORV,948,Marcus Camby,0.014
2006,ALL-NBA,ORV,1888,Richard Hamilton,0.014
2006,ALL-NBA,ORV,739,Rasheed Wallace,0.013
2006,ALL-NBA,ORV,980,Zydrunas Ilgauskas,0.008
2006,ALL-NBA,ORV,2420,Nenad Krstić,0.008
2006,ALL-NBA,ORV,951,Ray Allen,0.006
2006,ALL-NBA,ORV,2246,Mehmet Okur,0.006
2006,ALL-NBA,ORV,2072,Michael Redd,0.006
2006,ALL-NBA,ORV,1802,Brad Miller,0.005
2006,ALL-NBA,ORV,208,Sam Cassell,0.003
2006,ALL-NBA,ORV,2207,Joe Johnson,0.003
2006,ALL-NBA,ORV,1710,Mike Bibby,0.002
2006,ALL-NBA,ORV,2547,Chris Bosh,0.002
2006,ALL-NBA,ORV,2564,Boris Diaw,0.002
2006,ALL-NBA,ORV,1712,Antawn Jamison,0.002
2006,ALL-NBA,ORV,2549,Chris Kaman,0.002
2006,ALL-NBA,ORV,1905,Andrei Kirilenko,0.002
2006,ALL-NBA,ORV,101108,Chris Paul,0.002
