YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2010,ALL-ROOKIE,1st,201939,Stephen Curry,1.0
2010,ALL-ROOKIE,1st,201936,Tyreke Evans,1.0
2010,ALL-ROOKIE,1st,201943,Brandon Jennings,1.0
2010,ALL-ROOKIE,1st,201954,Darren Collison,0.793
2010,ALL-ROOKIE,1st,201959,Taj Gibson,0.707
2010,ALL-ROOKIE,2nd,201977,Marcus Thornton,0.534
2010,ALL-ROOKIE,2nd,201971,DeJuan Blair,0.517
2010,ALL-ROOKIE,2nd,201938,Jonny Flynn,0.379
2010,ALL-ROOKIE,2nd,201935,James Harden,0.379
2010,ALL-ROOKIE,2nd,201973,Jonas Jerebko,0.379
2010,ALL-ROOKIE,ORV,202083,Wesley Matthews,0.276
2010,ALL-ROOKIE,ORV,201956,Omri Casspi,0.224
2010,ALL-ROOKIE,ORV,201978,Chase Budinger,0.138
2010,ALL-ROOKIE,ORV,201950,Jrue Holiday,0.121
2010,ALL-ROOKIE,ORV,201951,Ty Lawson,0.121
2010,ALL-ROOKIE,ORV,201586,Serge Ibaka,0.103
2010,ALL-ROOKIE,ORV,201962,Toney Douglas,0.034
2010,ALL-ROOKIE,ORV,201958,Rodrigue Beaubois,0.017
2010,ALL-ROOKIE,ORV,201942,DeMar DeRozan,0.017
2010,ALL-ROOKIE,ORV,201970,Sam Young,0.017
