YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
1994,ALL-ROOKIE,1st,358,Anfernee Hardaway,1.0
1994,ALL-ROOKIE,1st,185,Chris Webber,1.0
1994,ALL-ROOKIE,1st,452,Vin Baker,0.885
1994,ALL-ROOKIE,1st,469,Jamal Mashburn,0.846
1994,ALL-ROOKIE,1st,375,Isaiah Rider,0.731
1994,ALL-ROOKIE,2nd,129,Dino Radja,0.673
1994,ALL-ROOKIE,2nd,89,Nick Van Exel,0.5
1994,ALL-ROOKIE,2nd,762,Shawn Bradley,0.404
1994,ALL-ROOKIE,2nd,389,Toni KukoÄ,0.365
1994,ALL-ROOKIE,2nd,283,Lindsey Hunter,0.288
1994,ALL-ROOKIE,ORV,384,Calbert Cheaney,0.212
1994,ALL-ROOKIE,ORV,168,Chris Mills,0.212
1994,ALL-ROOKIE,ORV,208,Sam Cassell,0.154
1994,ALL-ROOKIE,ORV,248,George Lynch,0.135
1994,ALL-ROOKIE,ORV,213,Antonio Davis,0.135
1994,ALL-ROOKIE,ORV,915,Rodney Rogers,0.115
1994,ALL-ROOKIE,ORV,136,P.J. Brown,0.077
1994,ALL-ROOKIE,ORV,461,Popeye Jones,0.038
1994,ALL-ROOKIE,ORV,381,James Robinson,0.019
