YEAR,AWARD,PLACE,PLAYER_ID,DISPLAY_FIRST_LAST,VOTES_PERCENTAGE
2002,ALL-NBA,1st,406,Shaquille O'Neal,0.994
2002,ALL-NBA,1st,1495,Tim Duncan,0.994
2002,ALL-NBA,1st,467,Jason Kidd,0.954
2002,ALL-NBA,1st,1503,Tracy McGrady,0.814
2002,ALL-NBA,1st,977,Kobe Bryant,0.805
2002,ALL-NBA,2nd,708,Kevin Garnett,0.621
2002,ALL-NBA,2nd,1717,Dirk Nowitzki,0.568
2002,ALL-NBA,2nd,185,Chris Webber,0.538
2002,ALL-NBA,2nd,56,Gary Payton,0.451
2002,ALL-NBA,2nd,947,Allen Iverson,0.432
2002,ALL-NBA,3rd,1718,Paul Pierce,0.365
2002,ALL-NBA,3rd,1112,Ben Wallace,0.31
2002,ALL-NBA,3rd,87,Dikembe Mutombo,0.167
2002,ALL-NBA,3rd,959,Steve Nash,0.152
2002,ALL-NBA,3rd,979,Jermaine O'Neal,0.124
2002,ALL-NBA,ORV,978,Peja Stojaković,0.087
2002,ALL-NBA,ORV,124,Vlade Divac,0.081
2002,ALL-NBA,ORV,711,Jerry Stackhouse,0.073
2002,ALL-NBA,ORV,252,Karl Malone,0.065
2002,ALL-NBA,ORV,1889,Andre Miller,0.051
2002,ALL-NBA,ORV,1882,Elton Brand,0.046
2002,ALL-NBA,ORV,893,Michael Jordan,0.046
2002,ALL-NBA,ORV,952,Antoine Walker,0.044
2002,ALL-NBA,ORV,297,Alonzo Mourning,0.04
2002,ALL-NBA,ORV,1884,Baron Davis,0.038
2002,ALL-NBA,ORV,739,Rasheed Wallace,0.024
2002,ALL-NBA,ORV,951,Ray Allen,0.021
2002,ALL-NBA,ORV,304,John Stockton,0.017
2002,ALL-NBA,ORV,949,Shareef Abdur-Rahim,0.008
2002,ALL-NBA,ORV,714,Michael Finley,0.008
2002,ALL-NBA,ORV,1883,Steve Francis,0.008
2002,ALL-NBA,ORV,1710,Mike Bibby,0.006
2002,ALL-NBA,ORV,2200,Pau Gasol,0.006
2002,ALL-NBA,ORV,1711,Raef LaFrentz,0.006
2002,ALL-NBA,ORV,1890,Shawn Marion,0.006
2002,ALL-NBA,ORV,764,David Robinson,0.006
2002,ALL-NBA,ORV,1713,Vince Carter,0.005
2002,ALL-NBA,ORV,213,Antonio Davis,0.005
2002,ALL-NBA,ORV,361,Clifford Robinson,0.005
2002,ALL-NBA,ORV,1740,Rashard Lewis,0.003
2002,ALL-NBA,ORV,1709,Michael Olowokandi,0.003
2002,ALL-NBA,ORV,922,Elden Campbell,0.002
2002,ALL-NBA,ORV,208,Sam Cassell,0.002
2002,ALL-NBA,ORV,397,Reggie Miller,0.002
2002,ALL-NBA,ORV,1749,Cuttino Mobley,0.002
2002,ALL-NBA,ORV,1887,Wally Szczerbiak,0.002
